date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,4270.69,4652.6264280807345,3534.5568119625977,5770.696044198872,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,4429.34,4762.201263607628,3644.131647489491,5880.270879725765,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,4588.68,4780.561676014501,3662.492059896364,5898.631292132638,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,4826.46,5010.145320296117,3892.07570417798,6128.214936414253,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,5076.47,5648.323429062471,4530.253812944335,6766.393045180608,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,5219.15,5363.737259124331,4245.667643006194,6481.806875242469,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,5202.05,5192.001475696804,4073.931859578667,6310.071091814941,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,5202.17,4945.105402593552,3827.0357864754146,6063.175018711689,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,5049.64,4795.202254673004,3677.132638554867,5913.271870791141,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,4887.82,4887.807869202563,3769.738253084426,6005.8774853207,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,4626.97,4861.598750832732,3743.529134714595,5979.668366950868,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,4148.27,4437.705359243962,3319.6357431258257,5555.774975362099,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,3784.15,3931.511710878388,2813.442094760251,5049.581326996525,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,3768.69,4121.621640845646,3003.552024727509,5239.6912569637825,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,4082.22,3983.4507170078246,2865.381100889688,5101.520333125962,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,4455.42,4813.761185579388,3695.691569461251,5931.830801697525,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,4767.43,5152.428987817411,4034.3593716992746,6270.498603935548,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,5132.08,5973.886931318833,4855.817315200697,7091.95654743697,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,5275.93,5235.485051496647,4117.41543537851,6353.554667614784,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,5037.32,5417.73509946423,4299.665483346093,6535.804715582367,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,4679.6,4956.617061312315,3838.547445194178,6074.686677430452,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,4217.19,4564.416535014248,3446.3469188961117,5682.486151132385,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,3876.88,4166.872645484924,3048.8030293667866,5284.942261603061,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,3638.29,4185.303383814362,3067.2337676962247,5303.372999932499,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,3623.17,3773.8224242788187,2655.7528081606815,4891.892040396955,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,3565.93,3513.7087177987123,2395.6391016805755,4631.778333916849,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,3493.15,3406.8490039255203,2288.7793878073835,4524.918620043657,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,3455.64,3832.8517973320045,2714.7821812138677,4950.921413450142,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,3433.91,3839.0236959831445,2720.9540798650078,4957.093312101281,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,3546.19,3929.323007381912,2811.253391263775,5047.392623500049,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,3485.68,3331.6149571948436,2213.545341076707,4449.68457331298,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,3487.58,3207.3820417105335,2089.3124255923967,4325.45165782867,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,3546.97,3614.6805175069453,2496.6109013888085,4732.7501336250825,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,3688.44,3897.778570453669,2779.7089543355323,5015.848186571806,2026-01-31 00:00:00+00:00,33
