date,hard_coal_50hz_actual,lignite_50hz_actual,gas_50hz_actual,biomass_50hz_actual,pumped_storage_50hz_actual,hydro_50hz_actual,other_conv_50hz_actual,hard_coal_50hz_fitted,lignite_50hz_fitted,gas_50hz_fitted,biomass_50hz_fitted,pumped_storage_50hz_fitted,hydro_50hz_fitted,other_conv_50hz_fitted,hard_coal_50hz_lower,lignite_50hz_lower,gas_50hz_lower,biomass_50hz_lower,pumped_storage_50hz_lower,hydro_50hz_lower,other_conv_50hz_lower,hard_coal_50hz_upper,lignite_50hz_upper,gas_50hz_upper,biomass_50hz_upper,pumped_storage_50hz_upper,hydro_50hz_upper,other_conv_50hz_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,917.34,4695.32,3604.33,1016.39,-5.431801e-06,118.99,996.13,946.8266803545692,4668.95056086387,3552.36654189613,1004.9313042362733,-6.711918410669398,119.9416445451449,952.322555846087,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,943.21,4373.56,3627.0803,1008.56,-5.431801e-06,118.09,994.16,869.6971010878052,4477.497859220231,3680.8941210907124,1011.4711360850179,-5.528980751293432,120.15463498402067,950.8414350852975,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,903.41,4140.25,3627.7,1011.33,-5.431801e-06,118.41,987.68,781.7597143816158,4311.988459744099,3657.141126849082,1023.9106453005534,2.7503445903760166,118.97208945405393,996.5364636166875,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,978.36,3950.0,3620.2803,1023.44,-5.431801e-06,119.83,994.25,762.3639125208467,4366.1043711500415,3649.1805099352014,1014.7151213771842,-6.168242708925618,119.13465822683301,984.1826450138467,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,1000.91,3703.06,3666.01,1022.78,-5.431801e-06,119.75,1001.78,837.3660634107773,4266.97962442536,3706.209815923933,1016.874098299508,8.725169263447356,118.36367454532608,992.6944487744761,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,921.41,4177.23,3667.22,1027.05,-5.431801e-06,120.24,996.28,905.204226514446,4395.6551462654315,3667.9534893184823,1006.2354715410962,63.571328941260106,119.46784280399795,992.5322633060757,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,834.66,5784.95,3714.79,1029.32,0.12999944,144.53,990.37,893.8149101485657,5052.535327321879,3511.160040241932,988.5764115630433,88.62708023356726,118.93386970452086,968.9925939122686,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,836.24,5666.99,3708.89,1034.7,0.029993348,121.75,990.58,862.0045214435288,5041.119697844869,3615.5757330444203,1008.0006592017882,236.54413821145567,121.4601565927433,979.41450034544,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,827.06,5617.81,3763.61,1023.24,-5.431801e-06,119.79,984.83,926.0946915649047,4977.879763114928,3769.1532936372973,1012.1340715930417,203.94789186017817,121.47213276563848,956.2293592132191,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,868.82,5233.47,3820.48,1025.68,-5.431801e-06,120.08,985.95,939.3394809631661,5165.791481433596,3762.657147850151,1021.3370818209938,105.8302077588678,121.56323196643739,962.7832977044361,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,485.40961665471394,4427.640215661185,1769.5389932032995,988.6486797514416,408.8096869510114,116.93271488280523,711.2412697147188,2026-01-31 00:00:00+00:00,9
