date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,6.7573055e-05,-13.765069,-539.0545114404176,511.524268100806,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,6.7573055e-05,-12.734063,-538.0235121219566,512.555267419267,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,6.7573055e-05,-10.644219,-535.9335360208497,514.6452435203739,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,6.7573055e-05,-10.639337,-535.9287738992866,514.6500056419372,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,6.7573055e-05,-5.1649714,-530.4543183187743,520.1244612224493,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,6.7573055e-05,-11.321954,-536.6113446566974,513.9674348845265,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,0.34992108,-7.0905085,-532.3798028042143,518.1989767370094,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,56.079903,193.50519,-331.7841625051092,718.7946170361147,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,244.85004,357.75653,-167.53283555561165,883.045943985612,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,510.63995,1045.8336,520.5442241235855,1571.123003664809,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,777.2299,1477.6405,952.3510354361501,2002.9298149773736,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,912.3499,1875.6084,1350.3190294093306,2400.897808950554,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,796.19,890.2282,364.93882650491264,1415.5176060461363,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,585.7299,1190.3392,665.0498108541958,1715.6285903954195,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,280.08002,654.15814,128.8687537284345,1179.4475332696582,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,46.839912,183.02435,-342.2649968008045,708.3137827404191,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,0.45001873,-153.50775,-678.79718292077,371.78159662045346,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,6.7573055e-05,7.8191595,-517.4701954546213,533.1085840866024,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,6.7573055e-05,-2.0131161,-527.3023891090447,523.2763904321789,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,6.7573055e-05,-2.8060849,-528.0954807710709,522.4832987701525,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,6.7573055e-05,-2.8060849,-528.0954807710709,522.4832987701525,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,6.7573055e-05,2.2539737,-523.0353297665688,527.5434497746548,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,6.7573055e-05,-1.0668269,-526.3561158700645,524.2226636711591,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,6.7573055e-05,-49.459892,-574.7493904618264,475.8293890793973,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,6.7573055e-05,-46.506523,-571.7958829839022,478.78289655732124,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,6.7573055e-05,-43.38079,-568.6701454427712,481.90863409845247,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,6.7573055e-05,-39.20208,-564.4913837709482,486.0873957702752,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,6.7573055e-05,-25.917414,-551.206850404842,499.3719291363816,2026-01-31 00:00:00+00:00,27
