date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,-9.453079e-07,2.2834062070744494,-523.9778068619248,528.5446192760737,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,-9.453079e-07,14.648057827562525,-511.61315524143674,540.9092708965617,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,-9.453079e-07,19.89131237568904,-506.3699006933102,546.1525254446882,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,-9.453079e-07,37.76891790059494,-488.4922951684043,564.030130969594,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,263.17004,166.81677896476708,-359.4444341042322,693.0779920337663,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,986.79,636.2400391908975,109.97882612189835,1162.5012522598968,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,1657.4,1215.145721801512,688.8845087325128,1741.4069348705113,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,2202.29,1751.626804972288,1225.3655919032888,2277.888018041287,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,2441.37,2019.1345207252443,1492.873307656245,2545.395733794244,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,2326.19,1976.6570346411597,1450.3958215721605,2502.918247710159,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,1860.46,1730.371601430533,1204.1103883615338,2256.6328144995323,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,1129.57,852.4597000406994,326.1984869717003,1378.7209131096988,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,281.49,230.84616766985505,-295.4150453991442,757.1073807388543,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,1.2800283,19.52740441930314,-506.73380864969613,545.7886174883023,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,-9.453079e-07,-5.057237674184535,-531.3184507431838,521.2039753948147,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,-9.453079e-07,-4.291340899036641,-530.5525539680359,521.9698721699626,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,-9.453079e-07,-2.5630199146262385,-528.8242329836255,523.698193154373,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,-9.453079e-07,9.801631705861837,-516.4595813631374,536.062844774861,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,-9.453079e-07,14.412047495268098,-511.84916557373117,540.6732605642674,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,-9.453079e-07,29.36315399263958,-496.8980590763597,555.6243670616388,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,133.97003,184.6558515191524,-341.60536154984675,710.9170645881517,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,499.87,457.40245514933713,-68.85875791966214,983.6636682183364,2026-01-31 00:00:00+00:00,32
