date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,15372.47,15051.317834147116,14440.60794465533,15663.37368637407,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,14900.18,14483.533888733591,13872.528751286396,15096.324195461506,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,14625.07,14412.687600205812,13802.529706968413,15026.188778186115,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,14563.9,14865.069445744846,14254.956404361916,15478.281613745685,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,14988.36,15636.858621148614,15027.332959243093,16250.105718726829,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,15499.66,16512.472485266393,15901.627504342976,17125.090981860496,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,16347.62,17296.182548250043,16684.840511212067,17908.220293326813,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,17471.58,17990.460490829522,17379.286788210487,18602.68533075713,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,18386.26,18627.190737255118,18015.710614170544,19239.220039429558,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,18851.08,19030.4914521493,18417.375113707574,19642.337355811123,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,18897.09,19172.132997361303,18560.16301942823,19783.84550751377,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,18576.39,19071.968497581584,18459.519320585754,19683.24072072358,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,18079.64,18820.77073190175,18209.005193772744,19431.861903633453,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,17680.14,18558.546840575385,17946.392990901113,19170.359548561977,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,17598.03,18364.465595816986,17752.487069997813,18977.600511152654,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,18128.94,18194.565394433288,17582.88683923417,18807.444016341848,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,19071.18,17942.887486884727,17332.36460977296,18557.327830806094,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,18972.51,17475.382238459897,16864.99269494779,18089.16763649685,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,18274.6,16773.339990023105,16162.169765290953,17388.595491552558,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,17332.7,15960.167930032381,15349.781074368491,16572.911976500083,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,16481.59,15143.663654806534,14533.262503714708,15755.97547400676,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,15995.49,14400.196726044509,13789.666201966807,15013.61157521181,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,15371.78,13803.124295036845,13191.836621309532,14416.824025830982,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,14306.8,13428.337094937966,12817.526276597384,14041.961162611162,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,13542.83,13059.175417483284,12448.095615594924,13672.03039516606,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,13109.88,12832.802541728124,12222.071301897951,13445.758941482249,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,12870.03,12917.18473334118,12306.35733733993,13530.368423514117,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,12876.05,13382.278006769098,12771.489055793507,13994.65103066462,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,13173.46,14145.060336606071,13534.788590983924,14757.138489532826,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,13569.74,15059.29311638847,14448.155065023046,15671.804685604686,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,14292.27,16047.7201024981,15435.741799709302,16660.396053519107,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,15207.47,17073.007821791893,16461.87232335373,17685.236893365327,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,16131.77,18006.76125223044,17395.323169171203,18619.092009747805,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,16791.46,18728.77051803016,18116.976696489797,19341.45737276986,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,17206.55,19132.95847806481,18521.016455160054,19744.396593472098,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,17241.39,19231.29482132117,18618.420064298694,19843.402126429035,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,16681.86,19086.5398037619,18473.120070653928,19697.13206869429,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,16259.14,18824.030986419555,18210.431799874885,19434.02474343682,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,16329.87,18561.2307387772,17946.682286502393,19172.731552480553,2026-01-31 00:00:00+00:00,38
