date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,6097.76,6156.7954,5854.061223850589,6459.529360407267,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,5959.77,6043.5303,5740.796212071112,6346.264348627789,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,6326.73,6242.924,5940.18979976823,6545.6579363249075,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,6299.81,6228.4595,5925.725520942823,6531.1936574995,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,6081.2505,6131.4697,5828.735769705669,6434.203906262346,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,6405.96,6143.5874,5840.853273406788,6446.321409963465,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,6150.35,6047.206,5744.471754845682,6349.9398914023595,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,6087.1206,5791.1484,5488.414156606472,6093.882293163149,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,5545.04,5590.7715,5288.037066530782,5893.505203087459,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,5201.29,5510.327,5207.593044347992,5813.0611809046695,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,5301.2,5478.9136,5176.179262556425,5781.647399113102,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,5308.48,5598.9277,5296.193556729882,5901.66169328656,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,6271.42,6060.796,5758.061618830258,6363.529755386935,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,6058.26,6068.652,5765.917636086506,6371.3857726431825,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,5864.66,5710.0176,5407.283247275431,6012.751383832108,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,5844.01,5784.649,5481.914982575053,6087.3831191317295,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,6054.63,5887.5723,5584.838110005441,6190.306246562119,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,5470.3,5875.013,5572.278898219285,6177.747034775963,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,5322.6,5578.4136,5275.679313065797,5881.147449622475,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,5483.33,5528.856,5226.121637644358,5831.589774201036,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,5597.42,5612.6777,5309.943730101944,5915.411866658622,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,5555.56,5608.1436,5305.40941765404,5910.877554210717,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,5235.18,5392.162,5089.427880382056,5694.896016938734,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,5171.62,5333.146,5030.411951098965,5635.8800876556425,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,5123.57,5154.589,4851.854511745081,5457.322648301759,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,5104.24,5263.181,4960.447190694915,5565.915327251592,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,5315.7,5530.956,5228.221733483892,5833.689870040569,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,5380.41,5418.635,5115.900575370841,5721.368711927518,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,5410.02,5252.9653,4950.231110637877,5555.699247194554,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,5148.16,5329.313,5026.578670745264,5632.046807301942,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,5250.89,5370.254,5067.519502271989,5672.987638828667,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,5277.89,5270.9165,4968.182118641095,5573.650255197773,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,5330.16,5338.5522,5035.817892261983,5641.28602881866,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,5540.25,5570.406,5267.671344799221,5873.139481355897,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,5568.8,5662.663,5359.928754345105,5965.396890901782,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,5682.76,5800.779,5498.044507310571,6103.512643867249,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,5847.49,5668.889,5366.154888056127,5971.623024612803,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,5999.0503,5735.9204,5433.186072396135,6038.654208952813,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,5622.73,5687.858,5385.123689215989,5990.591825772666,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,5696.74,5595.3667,5292.632673744491,5898.100810301168,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,4984.46,5381.481,5078.746945964782,5684.215082521459,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,5066.24,5374.408,5071.67404435275,5677.142180909427,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,5382.45,5486.375,5183.640721547485,5789.108858104161,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,4508.69,4855.5723,4552.837855372258,5158.305991928935,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,5500.98,5714.425,5411.690469527108,6017.158606083785,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,5347.72,5776.868,5474.134190713201,6079.6023272698785,2026-01-31 00:00:00+00:00,45
2026-02-01 22:00:00+00:00,5942.56,5954.862,5652.127761085167,6257.595897641844,2026-01-31 00:00:00+00:00,46
2026-02-01 23:00:00+00:00,6063.62,5945.5864,5642.852105616747,6248.320242173424,2026-01-31 00:00:00+00:00,47
2026-02-02 00:00:00+00:00,6319.6104,6341.6978,6038.963528734569,6644.431665291246,2026-01-31 00:00:00+00:00,48
2026-02-02 01:00:00+00:00,6426.0605,6363.495,6060.760890450629,6666.229027007306,2026-01-31 00:00:00+00:00,49
2026-02-02 02:00:00+00:00,6467.07,6344.057,6041.322734265908,6646.790870822586,2026-01-31 00:00:00+00:00,50
2026-02-02 03:00:00+00:00,6506.51,6456.3013,6153.567166763024,6759.035303319701,2026-01-31 00:00:00+00:00,51
2026-02-02 04:00:00+00:00,6343.64,6378.5405,6075.806397964352,6681.27453452103,2026-01-31 00:00:00+00:00,52
2026-02-02 05:00:00+00:00,6161.97,6287.2305,5984.496056845338,6589.964193402015,2026-01-31 00:00:00+00:00,53
2026-02-02 06:00:00+00:00,5883.54,6174.057,5871.322772897202,6476.79090945388,2026-01-31 00:00:00+00:00,54
2026-02-02 07:00:00+00:00,6132.1606,6094.1255,5791.391397846586,6396.859534403264,2026-01-31 00:00:00+00:00,55
2026-02-02 08:00:00+00:00,6488.79,6301.882,5999.147649045963,6604.61578560264,2026-01-31 00:00:00+00:00,56
2026-02-02 09:00:00+00:00,6060.95,6203.034,5900.299766272043,6505.76790282872,2026-01-31 00:00:00+00:00,57
2026-02-02 10:00:00+00:00,6364.36,6321.1387,6018.404492741627,6623.872629298305,2026-01-31 00:00:00+00:00,58
2026-02-02 11:00:00+00:00,6445.32,6478.3994,6175.665430056663,6781.13356661334,2026-01-31 00:00:00+00:00,59
2026-02-02 12:00:00+00:00,5958.05,6181.3286,5878.5945610220515,6484.062697578729,2026-01-31 00:00:00+00:00,60
2026-02-02 13:00:00+00:00,6420.84,6333.9053,6031.170949417755,6636.6390859744315,2026-01-31 00:00:00+00:00,61
2026-02-02 14:00:00+00:00,6066.34,6064.6514,5761.9171881897055,6367.385324746383,2026-01-31 00:00:00+00:00,62
2026-02-02 15:00:00+00:00,5489.27,5649.584,5346.849822953798,5952.317959510476,2026-01-31 00:00:00+00:00,63
2026-02-02 16:00:00+00:00,5307.49,5293.6606,4990.926548784025,5596.3946853407015,2026-01-31 00:00:00+00:00,64
2026-02-02 17:00:00+00:00,5178.28,5486.7314,5183.997131322068,5789.465267878745,2026-01-31 00:00:00+00:00,65
2026-02-02 18:00:00+00:00,5778.94,5762.4966,5459.762282671225,6065.2304192279025,2026-01-31 00:00:00+00:00,66
2026-02-02 19:00:00+00:00,6250.05,6143.1313,5840.397206058433,6445.86534261511,2026-01-31 00:00:00+00:00,67
2026-02-02 20:00:00+00:00,6766.72,6427.7246,6124.990518222172,6730.458654778849,2026-01-31 00:00:00+00:00,68
2026-02-02 21:00:00+00:00,6281.29,6311.768,6009.034108998785,6614.502245555463,2026-01-31 00:00:00+00:00,69
2026-02-02 22:00:00+00:00,6562.49,6371.4814,6068.7472126635475,6674.215349220225,2026-01-31 00:00:00+00:00,70
