date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,15372.47,15257.945504412197,14798.131180487104,15717.759828337288,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,14900.18,14609.939140097817,14150.124816172724,15069.75346402291,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,14625.07,14322.222302328672,13862.40797840358,14782.036626253765,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,14563.9,14420.898775886842,13961.08445196175,14880.713099811934,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,14988.36,14840.730070179314,14380.915746254223,15300.544394104407,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,15499.66,15550.472894039092,15090.658570114,16010.287217964184,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,16347.62,16012.323088207168,15552.508764282074,16472.13741213226,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,17471.58,17160.103817537045,16700.289493611952,17619.918141462138,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,18386.26,17790.91725817608,17331.102934250986,18250.731582101173,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,18851.08,18658.655264899033,18198.84094097394,19118.469588824126,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,18897.09,18691.80593767353,18231.991613748436,19151.62026159862,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,18576.39,18394.622262712102,17934.807938787013,18854.436586637195,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,18079.64,18127.733147511404,17667.91882358631,18587.547471436497,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,17680.14,17470.936580732636,17011.122256807543,17930.75090465773,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,17598.03,17443.438972134412,16983.624648209323,17903.253296059505,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,18128.94,18096.917890757726,17637.103566832633,18556.73221468282,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,19071.18,18750.59061673731,18290.776292812217,19210.404940662404,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,18972.51,18670.914011957248,18211.099688032155,19130.72833588234,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,18274.6,18207.997161478917,17748.182837553824,18667.81148540401,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,17332.7,17311.029344762792,16851.2150208377,17770.84366868788,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,16481.59,16561.71311090531,16101.898786980219,17021.527434830405,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,15995.49,15915.895085911925,15456.080761986834,16375.709409837018,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,15371.78,15333.378322247085,14873.563998321993,15793.192646172178,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,14306.8,14634.331303014766,14174.516979089673,15094.145626939859,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,13542.83,13336.577662123162,12876.76333819807,13796.391986048255,2026-01-31 00:00:00+00:00,24
