date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,17982.12,18013.607,17625.473,18401.744,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,17698.82,17706.682,17318.545,18094.816,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,17430.0,17609.043,17220.906,17997.178,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,17458.4,17511.664,17123.527,17899.799,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,17561.65,17802.441,17414.307,18190.578,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,18567.54,18567.65,18179.514,18955.785,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,19519.88,19554.709,19166.574,19942.846,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,20500.92,20989.836,20601.7,21377.97,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,21950.83,21924.111,21535.975,22312.248,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,22461.58,22522.25,22134.113,22910.385,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,22446.79,22524.156,22136.02,22912.293,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,22044.89,22321.988,21933.852,22710.123,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,22164.98,22408.625,22020.488,22796.76,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,21953.03,22197.723,21809.588,22585.86,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,22039.91,22205.678,21817.541,22593.812,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,22287.29,22623.605,22235.469,23011.742,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,23037.14,23362.582,22974.447,23750.719,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,23476.05,23717.9,23329.764,24106.037,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,23085.43,23241.18,22853.043,23629.314,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,21756.47,21999.006,21610.87,22387.14,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,20619.12,20801.879,20413.742,21190.016,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,19919.1,19820.467,19432.33,20208.604,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,18897.56,18861.785,18473.648,19249.92,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,17323.4,17658.45,17270.312,18046.584,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,16478.78,17008.62,16620.484,17396.756,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,16442.66,16654.178,16266.042,17042.314,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,16271.01,16497.934,16109.799,16886.07,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,16416.04,16712.252,16324.117,17100.389,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,16315.69,16557.148,16169.014,16945.285,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,16586.89,16518.172,16130.036,16906.307,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,16993.48,17043.656,16655.521,17431.793,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,18234.16,17967.9,17579.764,18356.035,2026-01-31 00:00:00+00:00,31
