date,hard_coal_tran_actual,gas_tran_actual,biomass_tran_actual,pumped_storage_tran_actual,hydro_tran_actual,other_conv_tran_actual,hard_coal_tran_fitted,gas_tran_fitted,biomass_tran_fitted,pumped_storage_tran_fitted,hydro_tran_fitted,other_conv_tran_fitted,hard_coal_tran_lower,gas_tran_lower,biomass_tran_lower,pumped_storage_tran_lower,hydro_tran_lower,other_conv_tran_lower,hard_coal_tran_upper,gas_tran_upper,biomass_tran_upper,pumped_storage_tran_upper,hydro_tran_upper,other_conv_tran_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,3224.75,374.18,417.52,34.839996,349.94,152.63556,2806.9485636593704,384.05383945311064,421.337127428082,45.4475895225645,400.0419076740317,144.5368874235818,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,3318.88,374.07,413.23,26.839998,353.42,153.74,2654.899314133404,387.25015870516285,418.1993619139133,31.649302621097206,390.1151503572594,144.39419514493363,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,3095.0098,374.04,415.58,69.40999,351.39,139.55,2563.7145015332353,385.9088741664352,416.56587827380514,25.53151713814765,377.11468033991207,146.3579688723244,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,2871.95,374.43,420.13,21.369997,352.51,137.82,2540.2800880010027,388.54986195433366,420.86857681555483,19.825876280999864,373.15397188454824,141.1516845038485,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,2646.25,374.5,434.23,19.79001,356.69,136.71,2469.1797213645373,385.0829484283199,432.6102410477636,38.50660017365112,351.60606958425717,144.86084991708753,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,2317.1,374.49,461.83,17.730013,339.1,134.12,2318.753555753982,393.8123573536018,455.5838334210801,49.385338940273186,351.1984230400095,150.15842694371173,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,2208.48,374.33,499.97,47.51001,340.27,134.85,2452.467754918128,362.75453605580907,484.5095787269375,60.032413591560214,392.5554448208182,130.4574034460556,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,2534.93,373.7,518.89,38.070007,339.25,131.33,1886.8514287801822,378.0496672940992,491.5958129289364,260.68829935875067,368.4198936119112,127.82696291604488,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,2801.48,373.77,509.01,16.78,332.06,133.12,2423.6542448673354,377.9135211080588,492.15063469552916,190.40753006089844,399.6994224409216,129.09366473596015,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,2668.9,373.81,480.64,16.450014,332.50998,135.08,2252.0747907207283,378.76046584148907,475.6288673706122,104.09175761268946,410.16545568901614,128.23969972615106,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,2026-01-31 00:00:00+00:00,9
